,symbol,link_part,masterFund,subFund,link,volatility
0,PCS34,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny,Parasolowy FIO,PKO Infrastruktury i Budownictwa Globalny,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS34/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny#moreInfo,145.740900982761
0,PCS47,pko-globalnej-strategii-fundusz-inwestycyjny-zamkniety,,PKO Globalnej Strategii F,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS47/pko-globalnej-strategii-fundusz-inwestycyjny-zamkniety#moreInfo,29.66092462981508
0,PCS63,pko-globalnego-dochodu-fundusz-inwestycyjny-zamkniety,,PKO Globalnego Dochodu F,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS63/pko-globalnego-dochodu-fundusz-inwestycyjny-zamkniety#moreInfo,24.288165501724052
0,PCS88A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus-a3,Parasolowy FIO,PKO Gamma Plus A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS88A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus-a3#moreInfo,1.1806356759107297
0,PCS88A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus-a2,Parasolowy FIO,PKO Gamma Plus A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS88A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus-a2#moreInfo,1.1806356759107297
0,PCS88A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus-a1,Parasolowy FIO,PKO Gamma Plus A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS88A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus-a1#moreInfo,1.151021605016201
0,PCS88,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus,Parasolowy FIO,PKO Gamma Plus,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS88/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-gamma-plus#moreInfo,1.1806356759107297
0,PCS90,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2065,PKO Emerytura SFIO,PKO Emerytura 2065,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS90/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2065#moreInfo,0.3981128949623893
0,PCS81,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2060,PKO Emerytura SFIO,PKO Emerytura 2060,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS81/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2060#moreInfo,1.2528009261499367
0,PCS80,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2055,PKO Emerytura SFIO,PKO Emerytura 2055,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS80/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2055#moreInfo,1.2883903891661184
0,PCS79,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2050,PKO Emerytura SFIO,PKO Emerytura 2050,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS79/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2050#moreInfo,1.2542439971041
0,PCS78,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2045,PKO Emerytura SFIO,PKO Emerytura 2045,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS78/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2045#moreInfo,1.247424829903978
0,PCS77,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2040,PKO Emerytura SFIO,PKO Emerytura 2040,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS77/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2040#moreInfo,0.7776055357415027
0,PCS76,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2035,PKO Emerytura SFIO,PKO Emerytura 2035,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS76/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2035#moreInfo,0.7676794465782655
0,PCS75,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2030,PKO Emerytura SFIO,PKO Emerytura 2030,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS75/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2030#moreInfo,0.41681290976985214
0,PCS74,pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2025,PKO Emerytura SFIO,PKO Emerytura 2025,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS74/pko-emerytura-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-emerytura-2025#moreInfo,0.26272723916639334
0,PCS85A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny-a3,Parasolowy FIO,PKO Ekologii i Odpowiedzialności Społecznej Globalny A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS85A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny-a3#moreInfo,146.10634138463166
0,PCS85A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny-a2,Parasolowy FIO,PKO Ekologii i Odpowiedzialności Społecznej Globalny A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS85A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny-a2#moreInfo,146.10634138463166
0,PCS85A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny-a1,Parasolowy FIO,PKO Ekologii i Odpowiedzialności Społecznej Globalny A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS85A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny-a1#moreInfo,165.86960305998636
0,PCS85,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny,Parasolowy FIO,PKO Ekologii i Odpowiedzialności Społecznej Globalny,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS85/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-ekologii-i-odpowiedzialnosci-spolecznej-globalny#moreInfo,146.10634138463166
0,PCS28A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny-a3,Parasolowy FIO,PKO Dóbr Luksusowych Globalny A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS28A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny-a3#moreInfo,2075.8887252615996
0,PCS28A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny-a2,Parasolowy FIO,PKO Dóbr Luksusowych Globalny A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS28A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny-a2#moreInfo,2075.8887252615996
0,PCS28A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny-a1,Parasolowy FIO,PKO Dóbr Luksusowych Globalny A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS28A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny-a1#moreInfo,3667.6076597199776
0,PCS28,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny,Parasolowy FIO,PKO Dóbr Luksusowych Globalny,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS28/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-dobr-luksusowych-globalny#moreInfo,3237.6793606750275
0,PCS70A1,pko-portfele-inwestycyjne-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-pko-diamentowy-a1,PKO Portfele Inwestycyjne SFIO,PKO Diamentowy A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS70A1/pko-portfele-inwestycyjne-specjalistyczny-fundusz-inwestycyjny-otwarty-subfundusz-pko-diamentowy-a1#moreInfo,0.45926858363039136
